strain	stress
0.0469026696862	423.37180442
0.0472461155969	423.695312534
0.0475989787993	424.237014975
0.0479421856897	424.587343373
0.0482852748295	424.944780739
0.0486282462995	425.286038515
0.0489806222216	425.708798948
0.0493138365529	425.924864698
0.0496564554974	426.397820783
0.0499894447449	426.644031206
0.0503223231475	426.997112525
0.0506550907789	427.20096652
0.0509782447646	427.542187038
0.0513107942344	427.903161859
0.0516242396191	428.107035488
0.0519470806227	428.382136706
0.0522698174337	428.570325577
0.0525734746071	428.826666277
0.0528865245221	429.128619449
0.0531994764676	429.44929199
0.0535028515173	429.681462892
0.0538061345585	429.934273553
0.0540998523168	430.181784831
0.0544029543793	430.481762166
0.0546870291497	430.50169011
0.0549804883255	430.895659836
0.0552549367096	431.031963862
0.0555482292994	431.39719372
0.0558130648192	431.490542778
0.0561061937839	431.9144929
0.0563803334361	432.18719158
0.0566638471175	432.465955596
0.0569378339584	432.711005659
0.0572117457511	433.038971827
0.0574855825367	433.322652301
0.0577593443561	433.531498162
0.0580330312506	433.710836978
0.0582972096103	433.858396064
0.0585613181982	434.04638098
0.0588253570511	434.111291367
0.059070473577	434.268505759
0.0593249540847	434.369960115
0.0595793698485	434.516476474
0.0598243016457	434.497365682
0.0600691734659	434.641239055
0.0603045706055	434.760718286
0.0605399123463	434.827733163
0.0607657883226	434.746564822
0.0609916132904	434.848610828
0.0612079810411	434.841871291
0.061424301987	435.041835264
0.0616405761483	435.059430438
0.0618474033261	435.22159005
0.0620541877353	435.328641995
0.0622515329726	435.357730625
0.0624488392725	435.435739778
0.0626461066503	435.316019017
0.0628339441714	435.197550336
0.0630217464162	435.079006436
0.0631907382862	434.93488967
0.0633690876167	434.729235681
0.0635286363756	434.527909897
0.0636975426142	434.238501147
0.0638382760232	434.009687072
0.0639883698321	433.503788376
0.0641196834373	433.210570411
0.0642603574536	432.973103188
0.0643822589293	432.836881335
0.0645228960155	432.881844116
0.0646447654934	432.868419383
0.064766620121	432.771396792
0.064879088138	432.685712052
0.0650009142174	432.600966787
0.0651133558884	432.45724535
0.0652164163147	432.360409048
0.0653194661206	432.34747045
0.0654318719809	432.213775456
0.0655255338802	431.942527784
0.0656191870078	431.294057017
0.0657034673242	430.578257777
0.065787740538	430.0260882
0.0658532814613	429.225387026
0.0659188180893	428.500885126
0.0659843504225	427.896864123
0.066040517576	427.24148951
0.0660873211274	426.284881669
0.0661434824978	425.73576542
0.0661902812305	425.341630418
0.0662370777732	424.924302701
0.0662745134306	424.277118863
0.0663119476867	423.544892117
0.0663400224592	422.488588589
0.0663680964435	421.57975876
0.0663961696397	420.609493981
0.066414884666	419.3334122
0.066433599342	417.991119764
0.0664429565487	416.538125737
0.0664523136678	415.07587079
0.0664616706994	413.59170102
0.0664616706994	412.363859299
0.0664710276434	411.33264209
0.0664710276434	410.109672977
0.0664710276434	409.033611489
0.0664710276434	408.090510701
0.0664710276434	407.063728353
0.0664616706994	405.454648622
0.0664616706994	403.827276617
0.0664429565487	401.982859217
0.066433599342	400.028460688
0.066414884666	397.759048807
0.0663961696397	395.154860111
0.0663774542631	392.801394406
0.0663587385363	390.698562818
0.0663400224592	388.774093223
0.0663213060318	386.608155829
0.0663119476867	385.087620743
0.0663025892541	383.566665258
0.066283872126	381.891051261
0.0662651546476	379.848167353
0.0662370777732	377.360830022
0.0662090001103	374.100843252
0.0661622022537	368.981438076
0.0661154022069	363.929122049
0.0660498784615	357.746984481
0.0659469039008	346.113453117
0.0658251930202	333.906888328
0.0656191870078	312.806187049
0.0651883099791	270.806758051
0.0650571366333	257.749414184
0.0649259460788	246.033594422
0.0647572472153	230.835593576
